title,category,period,outcome,image_url
"지역사회 에너지 혁신 프로젝트 경진대회","social,event","2024년 11월 ~ 2025년 1월 (총 8주간)","[오프라인 숙박형 캠프 및 행사 운영] 총 4개 지역혁신플랫폼의 7개 대학의 친환경에너지 전공자 참여 | 현직자 특강, 팀 프로젝트 멘토링, 에너지마을 발밤 및 팀 별 최종 결과 발표 | 경진대회 진행 및 시상 진행",
"2024학년도 반도체 글로벌 연수 프로그램 in 대만","global,competency","2025년 1월 (4박 5일, 총 60시간)","[해외 박람회 관람 및 기업 탐방] 대만 진출 국내기업 및 현지 반도체 설계/장비 전문 기업 탐방 등의 산학연계형 교육 수행 | 기업에 대한 이해, 분석 팀프로젝트를 통해 실무역량 강화",
"PNU SEMICON KOREA 2025 동계 반도체 취업지원 교육캠프","competency,career","2025년 2월 19일 ~ 21일 (2박 3일, 총 28시간)","[오프라인 숙박형 캠프] SEMOCON KOREA 2025 탐방 관람 | 취업희망 기업 부스 방문, 기업 분석, 팀프로젝트 수행 및 결과 발표 | 공정별 기술 트렌드 튜토리얼 및 취업 멘토링 참여",
"SEMICON KOREA 2025 반도체산업 취업역량강화 캠프","competency,career","2025년 2월 19일 ~ 21일 (2박 3일, 총 28시간)","[오프라인 숙박형 캠프] SEMOCON KOREA 2025 탐방 관람 | 취업희망 기업 부스 방문, 기업 분석, 팀프로젝트 수행 및 결과 발표 | 공정별 기술 트렌드 튜토리얼 및 취업 멘토링 참여",
"반도체 클린룸 위탁운영 방안 및 사업추진 전략 수립","consulting","2025년 2월 ~ 3월 (총 6주간)","[사업 컨설팅] 대만 내 클린룸 시설 시장 및 반도체 창정 장비 등을 운영하기 위한 전략 수립 | 수익창출 및 지역사회 공헌방안 마련",
"글로벌대학 연계 스마트시티 리빙랩 캠퍼스 네트워킹 프로그램","global","2025년 2월 ~ 3월 (총 6주간)","[1일 네트워킹 행사 운영] 미국의 2개 대학과 함께 각 도시의 스마트시티 구축현황을 공유하고, 관련 지역사회 문제를 도출하고 이를 해결할 수 있는 방안을 논의하는 행사 진행",
"2025학년도 '말바트로스 세미나' 교과목 운영","competency","2025년 1학기 (매주 2시간, 총 32시간)","[교과목 강의 및 운영] 6주간의 반도체 산업 현직자의 특강 | 8주간의 리더로서 성장하기 위한 필수 역량 중 하나인 문제해결 역량강화를 위해 Design Thinking을 활용한 창의적 문제해결 과정",
"2025학년도 '반도체 리더십과 사회적 역할(3기)' 교과목 운영","competency","2025년 1학기 (매주 2시간, 총 32시간)","[교과목 강의 및 운영] 4주간의 반도체 산업 현직자의 특강 | 리더로서 성장하기 위한 필수 역량 중 하나인 문제해결 역량강화를 위해 Design Thinking을 활용한 창의적 문제해결 과정",
"2025 Fab to Future : 국내 반도체 기업 인사이트 탐방 - 1기","competency","2025년 6월 (1박 2일, 총 24시간)","[오프라인 숙박형 캠프] 반도체 기업 탐방 : 제조/연구 현장 견학 및 인사팀 특강 | 반도체 현직자 특강 : 국내 대표 반도체 기업 현직자 특강 | 탐방 Insight 도출 및 현직자 직무 분석 팀프로젝트 진행",
"2025 제1회 원주시 공공데이터 활용 아이디어 공모전 운영","social,event","2025년 6월 ~ 8월 (총 2개월간)","[공모전 운영] 전국민을 대상으로 공공데이터 분석을 통해 원주시의 지역 현안을 도출하고, 이를 창의적으로 해결할 수 있는 아이디어 발굴이 가능한 공모전 운영",
"2025학년도 반도체 글로벌 연수 프로그램 in 대만","global,competency","2025년 8월 (4박 5일, 총 60시간)","[해외 박람회 관람 및 기업 탐방] 대만 진출 국내기업 및 현지 반도체 설계/장비 전문 기업 탐방 등의 산학연계형 교육 수행 | 기업에 대한 이해, 분석 팀프로젝트를 통해 실무역량 강화",
"2025학년도 상반기 캡스톤디자인 경진대회","event","2025년 9월 (1일, 총 6시간)","[결과물 전시 및 경진대회 운영] 캡스톤디자인 경진대회 참가 팀의 최종결과보고서를 돋보도록 제작, 전시하는 행사 기획, 디자인 및 운영 | 심사위원 평가, 현장에서 수상팀 결정 및 시상 행사 진행",
"Global Hydrogen Frontiers in JAPAN","global,competency","2025년 9월 (3박 4일, 총 48시간)","[해외 박람회 관람 및 기업 탐방] 탐방 : SMART ENERGY WEEK 2025, 도쿠레이 호텔(수소 에너지 활용), ENEOS 스이소테라스(수소충전소), 스이소미루 수소박물관(수소에너지 역사 및 생태계) | 학과 연계 취업프로그램 활동 진행",
"2025학년도 동아대학교 RISE사업 전공기반 취업역량강화 프로그램","career","2025년 9월 ~ 2026년 2월","[취업프로그램 활동 진행] 취업 프로그램 유형 정의 및 학과별 상세 수요 조사 | 취업캠프, 취업특강, 기업탐방, 현직자특강 등 자격증 과정 유형 중 선택, 상세 내용은 학과 맞춤형으로 진행",
"2025-2학기 Trend Watching 글로벌 창업캠프","global,career","2025년 11월 (3박 4일, 총 48시간)","[해외 박람회 관람 및 기업 탐방] 일본 소비자 및 문화의 이해 : 주일대한민국대사관 한국문화원 방문 및 현직자 특강 | 팀 별 창업아이템 소비자 설문 조사 및 마케팅전략 수립",
"2025 Fab to Future : 국내 반도체 기업 인사이트 탐방 - 2기","competency","2025년 11월 (1박 2일, 총 24시간)","[오프라인 숙박형 캠프] 탐방 : 삼화콘덴서, 세미파이브, 삼성이노베이션뮤지엄 | 탐방 : 삼성전자, SK하이닉스, 램리서치 전/현직자 직무 특강 | 팀프로젝트 : 팀 별 탐방 및 특강 Insight 도출 보고서 작성",
"부산대학교와 함께하는 지역사회 문제해결 : The B.SORI(비소리) Project 시즌 1","social,event","2025년 2학기 (장기 프로그램)","[학기 중 장기 프로그램] 부산 9개 대학의 학생들이 지역사회문제를 발굴하고, 해결방안을 제시할 수 있는 문제해결 역량강화 | 특강, 팀 프로젝트, 전문가 멘토링 및 최종발표 진행",
"2025 산학협력형 반도체 교육과정 아이디어톤 워크숍","social","2025년 11월 (6주 컨설팅, 1일 행사)","[1일 행사 및 상담형 수요조사] 지역 반도체 기업을 대상으로 교육과정 설계 및 운영을 위한 수요만족도 조사 진행, 결과를 교육과정 설계에 반영 | 기업 임직원과 학생이 채용 및 교육 관련 1Day 세미나 진행",
"차세대 ESG 리더 글로벌 탐방 프로그램","global,career","2025년 11월 (4박 5일, 총 40시간)","[해외 박람회 관람 및 기업 탐방] 탐방 : Sustaina Kyoto, Sustainability Management Week (INTEX OSAKA), Panasonic ECO Technology Center, Osaka Gas Science Museum, Osaka ATC Green Eco Plaza",
"2025학년도 하반기 캡스톤디자인 경진대회","event","2025년 12월 (1일, 총 6시간)","[결과물 전시 및 경진대회 운영] 캡스톤디자인 경진대회 참가 팀의 최종결과보고서를 돋보도록 제작, 전시하는 행사 기획, 디자인 및 운영 | 심사위원 평가, 현장에서 수상팀 결정 및 시상 행사 진행",
"ABC 프로젝트-Future Energy Insight : 특화분야 연구인재양성 세미나","career","2025년 12월 (1일 워크숍)","[1일 행사 진행] 전문기업(소재 바이오에너지/카본프리에너지) 채용 진행 | 산업정보 베네핏 통해 최신 산업 트렌드와 기술을 자율 탐색하는 체험형 학습공간 운영",
"DAU-RISE Global Tech Insight 2026 : CES & 실리콘밸리","global","2025년 12월 ~ 2026년 1월 (9박 11일)","[해외 박람회 관람 및 기업 탐방] 세계 최대 신기술 전시회 CES의 부산관 | 사전 협약 기업/부산테크가 서포터즈 역할 3일간 수행 및 관람 | 실리콘밸리 대표 기업 (Meta, Google, Apple) 탐방",
"클린에너지 전공 글로벌 프로그램","global,competency","2025년 12월 (4박 5일, 총 40시간)","[해외 교육과정 이수 및 기업 탐방] 사전 교육 및 현지 교육 과정 : Universiti Teknologi PETRONAS(수소기술 과정) | 탐방 : 싱가포르 URAS도시개발부 및 Sustainable Gallery 등",
"2025 신흥국 AI 활용 교육","competency,ai","2025년 12월 (주 1회 2시간씩 총 4회)","[공모전 운영] 스마트폰 기본부터 QR, 카카오톡 설치 및 공공서비스 사용하기, 구글렌즈/AI/챗GPT 활용하기 등 | 신흥국 이주 생활속에서 AI를 활용할 수 있는 방법 강의",
"KMOU RISE 연구인재양성 교육과정 표준모델 수립 컨설팅","consulting","2025년 12월 ~ 2026년 1월 (총 6주간)","[사업 컨설팅] 대학의 전문 연구인재 양성을 위한 전문 교육과정 계획 수립 및 운영을 표준모델(가이드 및 계획 양식 등)을 수립 | 국내외 사례 기반의 신진 표준모델 제시",
